position,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,فساتين كاجوال,['فساتين'],[],فساتين المحجبات الكاجوال هي الموضة الرائجة في صيف 2020، لذا جمعنا لك أحدث الموديلات والتي تتناسب مع أشكال الجسم المختلفة. شاهدي معنا واستلهمي التصميم ...,https://www.pinterest.com/pin/569142471655037431/
2,فساتين كاجوال,"['casual dresses', 'casual dress', 'casual dresses']",[],"Jul 24, 2018 - Shop trendy fashion style casual dresses for women - black, long sleeve, summer, fall casual dress online at ZAFUL. Get cute casual dresses ...",https://www.pinterest.com/pin/705446729106893931/
3,فساتين كاجوال,"['Dresses', 'Dress', 'Dresses', 'Casual']",[],"Mother Daughter Dresses Matching · Hijab Dress · African Fashion Dresses · Races Fashion, Fashion Outfits, Mode Abaya, Casual Wear Women, Abaya Fashion, ...",https://www.pinterest.com/hadiiiiiiil12/%D9%81%D8%B3%D8%A7%D8%AA%D9%8A%D9%86-%D8%A7%D9%84%D8%A8%D9%8A%D8%AA/
4,فساتين كاجوال,"['Casual Dresses', 'Casual Dresses']",[],Shop online for Women Casual Dresses at Amazon.ae. Choose from a huge selection of the most trendy Women Casual Dresses in UAE at best prices.,https://www.amazon.ae/-/ar/b?ie=UTF8&node=15242344031
5,فساتين كاجوال,"['Casual Dresses', 'فساتين كاجوال', 'Dress', 'فستان', 'Dress', 'فستان']",[],Casual Dresses | فساتين كاجوال ; Two Colors Embroidered Dress | فستان مطرز بلونين · Dhs. 260.00 · Blue Yellow Pink Maroon Light Green ; Summer Modest Dress | فستان ...,https://www.inlovegarments.store/collections/casual-dresses-%D9%81%D8%B3%D8%A7%D8%AA%D9%8A%D9%86-%D9%83%D8%A7%D8%AC%D9%88%D8%A7%D9%84
6,فساتين كاجوال,"['Dress', 'Dress']",[],ZAFUL Mock Neck Ribbed Puff Sleeve Slinky Dress - رمادي فاتح S. USD US$15.49 USD US$31.84. أولويات الارسال. 1175. ZAFUL Ribbed Snap Button Bodycon Dress ...,https://ar.zaful.com/premium-collection/casual-dresses-e_50/
7,فساتين كاجوال,"['فساتين كاجوال', 'فستان']",[],"ملابس - فساتين كاجوال. 64٪ بوليستر, ٪33 قطن, ٪3 Ea. فستان صيفي أنيق ، بأكمام قصيرة ، مخطط ونقوش عادية ، نص مطبوع ، طويل ، مع فتحات جانبية ، كبير الحجم ،.",https://www.sveltostella.com.tr/ar/shop/item/15198/MARISIS-%D8%A7%D9%84%D9%85%D8%B1%D8%A3%D8%A9-%D9%85%D9%84%D8%A7%D8%A8%D8%B3-%D9%81%D8%B3%D8%A7%D8%AA%D9%8A%D9%86-%D9%83%D8%A7%D8%AC%D9%88%D8%A7%D9%84?st=w
8,فساتين كاجوال,"['فساتين كاجوال', 'فستان', 'فستان']",[],"ملابس - فساتين كاجوال. %85 البوليستر, %15 ليكرا. فستان نسائي أنيق باللون الأسود مع حزام بسحاب أمامي بالإضافة إلى فستان نسائي طويل أنيق.",https://www.sveltostella.com.tr/ar/shop/item/12668/STELLA-%D8%A7%D9%84%D9%85%D8%B1%D8%A3%D8%A9-%D9%85%D9%84%D8%A7%D8%A8%D8%B3-%D9%81%D8%B3%D8%A7%D8%AA%D9%8A%D9%86-%D9%83%D8%A7%D8%AC%D9%88%D8%A7%D9%84?st=w
9,فساتين كاجوال,"['فساتين كاجوال', 'فستان']",[],"ملابس - فساتين كاجوال. 64٪ بوليستر, ٪33 قطن, ٪3 Ea. ياقة دائرية ، اكمام قصيرة ، تحت الركبة ، حاشية مطوية ، خطوط سميكة ، أنيقة ، حجم كبير ، فستان صيفي.",https://www.sveltostella.com.tr/ar/shop/item/14191/MARISIS-%D8%A7%D9%84%D9%85%D8%B1%D8%A3%D8%A9-%D9%85%D9%84%D8%A7%D8%A8%D8%B3-%D9%81%D8%B3%D8%A7%D8%AA%D9%8A%D9%86-%D9%83%D8%A7%D8%AC%D9%88%D8%A7%D9%84?st=w
10,فساتين كاجوال,"['فساتين كاجوال', 'فستان']",[],"Description; Order Information; Size Chart. ملابس - فساتين كاجوال. 90٪ قطن,10٪ بوليستر. فستان ميدي مطوي لمقاسات كبيرة بطبعة زهور على شكل عقدة للموسم الجديد.",https://sveltostella.com.tr/ar/shop/item/18829/Gio-%D8%A7%D9%84%D9%85%D8%B1%D8%A3%D8%A9-%D9%85%D9%84%D8%A7%D8%A8%D8%B3-%D9%81%D8%B3%D8%A7%D8%AA%D9%8A%D9%86-%D9%83%D8%A7%D8%AC%D9%88%D8%A7%D9%84?st=w
