position,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Casual Dress,['casual dresses'],[],"Free shipping and returns on women's casual dresses. Find casual, knit, t-shirt dresses, maxi dresses, and more. Shop top dress brands for women. .",https://www.nordstrom.com/browse/women/clothing/dresses/casual-dresses
2,Casual Dress,['casual dresses'],[],"Shop for womens casual dresses, from wrap to fit and flare to maxi dresses, on Amazon.com. Free shipping and free returns on eligible items.",https://www.amazon.com/Casual-Dresses/b?ie=UTF8&node=2346727011
3,Casual Dress,['Dress Casual'],[],Price and other details may vary based on product size and color. PRETTYGARDEN Women's Long Sleeve Mini Tunic Dress Casual Crewneck Loose Flowy Shift Ruched ...,https://www.amazon.com/casual-dresses-women/s?k=casual+dresses+for+women
4,Casual Dress,['casual dresses'],[],"Our collection of casual dresses for women currently includes must-haves like drawstring-waist dresses, tiered babydoll styles, button-front dresses, puff ...",https://www.lulus.com/categories/13_449/casual-dresses.html
5,Casual Dress,['casual dresses'],[],"Flowy, free, & fashionable -- the perfect dress awaits you at Nordstrom Rack. Shop our casual dresses today for up to 70% off top designer brands.",https://www.nordstromrack.com/shop/Women/Clothing/Dresses/Casual
6,Casual Dress,"['dresses', 'dress']",[],"Shop Target for women's dresses you will love. Find the perfect dress for any occasion and choose from Same Day Delivery, Drive Up or Order Pickup.",https://www.target.com/c/dresses-women-s-clothing/casual/-/N-5xtcgZhx2zn
7,Casual Dress,['casual dresses'],[],Feel as great as you look and shop Forever 21 for your favorite casual dresses! Short and long styles in every color. pattern & style! | Forever 21.,https://www.forever21.com/us/shop/catalog/category/f21/dress_casual
8,Casual Dress,['Casual Dresses'],[],"Shop our great selection of Casual Dresses for Women at Macy's! Explore the latest trends, styles and deals with free shipping options ...",https://www.macys.com/shop/womens-clothing/dresses/Occasion/Casual?id=5449
9,Casual Dress,['casual dresses'],[],"Shop Urban Outfitters for the perfect casual dresses for any occasion. Whether you need something to wear to class, or to the beach we have the dress you ...",https://www.urbanoutfitters.com/casual-dresses
10,Casual Dress,['casual dresses'],[],"Shop Anthropologie and find the perfect casual dresses and flowy dresses that fit your style! Find maxi dresses, mini dresses, casual sundresses and more.",https://www.anthropologie.com/dresses-casual-everyday
11,Casual Dress,['casual dresses'],[],"Step up your style in 2023 with casual dresses like tunics, day dresses, long sleeves to sleeveless dresses, and mini, midi & maxi lengths!",https://www.windsorstore.com/collections/dresses-casual
12,Casual Dress,"['casual dresses', 'casual dress']",[],"Discover the latest casual dresses at ASOS. Choose from our range of casual dress styles, from bodycon to maxi dresses in your favorite colors. Shop ASOS!",https://www.asos.com/us/women/dresses/casual-dresses/cat/?cid=8834
13,Casual Dress,['Casual Dresses'],[],"Casual Dresses for Women. There is no such thing as having too many dresses in your closet. So, when you're ready to step up your dress game, make sure you ...",https://www.kohls.com/catalog/womens-casual-dresses-clothing.jsp?CN=Gender:Womens+Occasion:Casual+Category:Dresses+Department:Clothing
14,Casual Dress,['Casual Dresses'],[],"Shop Women's Casual Dresses and see our entire collection of women's shirt dresses, tee dresses and more. Free shipping and returns for Madewell ...",https://www.madewell.com/womens/dresses/casual-dresses
15,Casual Dress,['Casual Dress'],[],MEROKEETY Women's Summer Striped Short Sleeve T Shirt Dress Casual Tie Waist ... Simier Fariry Womens Comfy Midi Casual Dress with Pockets Free Life Series.,https://www.amazon.com/Womens-Casual-Dresses-Blues/s?keywords=Women%27s+Casual+Dresses&rh=n%3A2346727011%2Cp_n_size_browse-vebin%3A2343350011&c=ts&ts_id=2346727011
16,Casual Dress,"['Dress', 'Casual', 'Dresses']",[],RESULTS. Price and other details may vary based on product size and color. Amoretu Women Summer Tunic Dress V Neck Casual Loose Flowy Swing Shift Dresses.,https://www.amazon.com/Womens-Casual-Dresses-Yellows/s?keywords=Women%27s+Casual+Dresses&rh=n%3A2346727011%2Cp_n_size_browse-vebin%3A2343364011&c=ts&ts_id=2346727011
17,Casual Dress,['Casual Dresses'],[],Women's Casual Dresses. Filters (2). RESULTS. Price and other details may vary based on product size and color. PRETTYGARDEN Women's Square Neck Smocked ...,https://www.amazon.com/Womens-Casual-Dresses-Up-25/s?keywords=Women%27s+Casual+Dresses&rh=n%3A2346727011%2Cp_36%3A2661612011&c=ts&ts_id=2346727011
18,Casual Dress,"['casual', 'dress']",[],"Whether you're running from the subway to the office or meeting up with friends for a picnic in the park, a casual summer dress is the ...",https://www.vogue.com/slideshow/casual-dresses
19,Casual Dress,['casual dresses'],[],"We've compiled the 10 best casual dresses on Amazon, including classic tank silhouettes and trendy prairie dresses that are stylish and ...",https://wwd.com/shop/shop-fashion/casual-amazon-dresses-1235189597/
20,Casual Dress,"['casual', 'dress', 'wear', 'dress']",[],"Come summer, your best bet for achieving this is the classic casual summer dress. An easy-to-wear summer dress means no wild straps, ...",https://www.whowhatwear.com/best-casual-summer-dresses
21,Casual Dress,"['Dress', 'Casual', 'Dress', 'Casual']",[],Women's Short-Sleeve Maxi Dress · Women's Summer Casual Flutter Short Sleeve Crew Neck Smocked Elastic Waist Tiered Midi Dress · Women's Casual Loose Sundress ...,https://www.amazon.com/Womens-Casual-Dresses-Black/s?keywords=Women%27s+Casual+Dresses&rh=n%3A2346727011%2Cp_n_size_browse-vebin%3A2343349011&c=ts&ts_id=2346727011
