position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Mens Two Piece Sets | Outfit sets For Men - Fashion Nova,men's Casual Sets,"['mens', 'sets']",[],"Searching for the perfect mens two piece sets? Find the latest trends at Fashion Nova - matching hoodies, joggers, shorts & more in all styles and colors.",https://www.fashionnova.com/collections/mens-two-piece-sets
2,Men's Co-ords | Men's Co-ord Outfits & Matching Sets | ASOS,men's Casual Sets,"[""men's"", 'casual', 'set']",[],Discover men's co-ords & matching tops to bottoms with ASOS. ... After something super casual? ... Topman polyester blend set in black. £54.00From£44.50.,https://www.asos.com/men/co-ords/cat/?cid=28291
3,Mens Casual Outfits - Amazon.com,men's Casual Sets,"[""Men's"", 'Casual', 'Set']",[],Price and other details may vary based on product size and color. LBL Men's Sweat Suit 2 Piece Outfit Casual Contrast Sports Jogging Tracksuits Set.,https://www.amazon.com/mens-casual-outfits/s?k=mens+casual+outfits
4,Casual Outfits For Men - Amazon.com,men's Casual Sets,"[""Men's"", 'Sets', 'Casual', ""Men's Casual""]",[],Men's Polo Shirt and Shorts Sets 2 Piece Casual Outfits Quarter Zip Short Sleeve Summer Tracksuit · Men's Casual Cotton Long Sleeve Dress Shirt Plaid Collar ...,https://www.amazon.com/casual-outfits-men/s?k=casual+outfits+for+men
5,Men's Two Piece Sets | Men's Matching Sets | boohoo USA,men's Casual Sets,"['sets', ""men's"", 'sets', ""Men's""]",[],"From trippy graphical print sets to basketball shorts, take a look at our men's 2 piece sets today and make getting ready a little bit easier. Read more. Men's ...",https://us.boohoo.com/mens/matching-sets
6,Mens Short Sets - Contempo Suits,men's Casual Sets,"['mens', 'casual', ""men's casual"", 'sets', ""men's casual""]",[],Contemposuits.com is the place to find mens fashion minded casual dress clothes like Fashionable men's casual short sets. We have men's casual fashion short ...,https://www.contemposuits.com/mens-short-sets.html
7,Men's Casual Clothes - Lululemon,men's Casual Sets,['Casual'],[],"Right, where you want it. From structured and roomy to loungey and fleecy, find pants that fit any occasion. Shop Casual Pants﻿.",https://shop.lululemon.com/c/men/casual/_/N-7tuZ1z0xms0
8,Men Sets Outfits 2 Piece Fashion Mens Casual Suits Sweat ...,men's Casual Sets,"['Men Sets', 'Mens Casual', 'Men Mens', 'Mens']",[],"Men Sets Outfits 2 Piece Fashion Mens Casual Suits Sweat Workout Suit for Men Mens Orange Sweatsuit Sweatsuits Mens with, Black, Large : Amazon.ca: Clothing ...",https://www.amazon.ca/Outfits-Fashion-Workout-Sweatsuit-Sweatsuits/dp/B0B7NY41JX
9,Men Sets Outfits 2 Piece Fashion Mens Casual Suits Sweat ...,men's Casual Sets,"['Men Sets', 'Mens Casual', 'Men Mens', 'Mens']",[],"Men Sets Outfits 2 Piece Fashion Mens Casual Suits Sweat Workout Suit for Men Mens Jogging Suits Sweatsuits Mens Grey, Grey, XX-Large : Amazon.ca: Clothing, ...",https://www.amazon.ca/Outfits-Fashion-Workout-Sweatsuits-XX-Large/dp/B0B7P15V38
10,Fly Guys Men's Casual Suit Two Piece Set Shirt & Pants,men's Casual Sets,"[""men's"", 'Casual', 'Set']",[],Looking for a versatile men's suit that you can wear anywhere? Look no further than the Fly Guys Casual Suit Two Piece Set. With a stylish shirt and ...,https://enetrends.com/products/printed-shirt-casual-suit-mens-trousers-summer
11,Men Sets Outfits 2 Piece Fashion Mens Casual Suits ...,men's Casual Sets,"['Men Sets', 'Mens Casual', 'Men Mens', 'Sets']",[],"Men Sets Outfits 2 Piece Fashion Mens Casual Suits Sweat Suit for Men Mens Jogging Suits Sweatsuit Sets Track Jackets Wine, Wine, 3X-Large : Amazon.ca: ...",https://www.amazon.ca/Outfits-Fashion-Jogging-Sweatsuit-3X-Large/dp/B0B7P15594
